Id,ICESName,West,South,East,North,Scale,Filename,ImageWidth,ImageHeight,ImageWest, ImageSouth,ImageEast,ImageNorth,ContainerRectangle
54324,42G14,11.5,56.5,12.0,56.75,3,42G14.png,2000,2000,11.5,56.487428,12.0,56.762485,5432
5433,43G1,11.0,57.0,12.0,57.5,2,43G1.png,2000,2000,11.0,56.979373,12.0,57.520338,1
54331,43G11,11.0,57.25,11.5,57.5,3,43G11.png,2000,2000,11.0,57.240181,11.5,57.509749,5433
54332,43G12,11.5,57.25,12.0,57.5,3,43G12.png,2000,2000,11.5,57.240181,12.0,57.509749,5433
54333,43G13,11.0,57.0,11.5,57.25,3,43G13.png,2000,2000,11.0,56.989261,11.5,57.260664,5433
54334,43G14,11.5,57.0,12.0,57.25,3,43G14.png,2000,2000,11.5,56.989261,12.0,57.260664,5433
5526,38G2,12.0,54.5,13.0,55.0,2,38G2.png,2000,2000,12.0,54.461175,13.0,55.038312,1
55261,38G21,12.0,54.75,12.5,55.0,3,38G21.png,2000,2000,12.0,54.731097,12.5,55.018777,5526
55262,38G22,12.5,54.75,13.0,55.0,3,38G22.png,2000,2000,12.5,54.731097,13.0,55.018777,5526
55263,38G23,12.0,54.5,12.5,54.75,3,38G23.png,2000,2000,12.0,54.480204,12.5,54.769665,5526
55264,38G24,12.5,54.5,13.0,54.75,3,38G24.png,2000,2000,12.5,54.480204,13.0,54.769665,5526
5527,39G2,12.0,55.0,13.0,55.5,2,39G2.png,2000,2000,12.0,54.96477,13.0,55.534759,1
55271,39G21,12.0,55.25,12.5,55.5,3,39G21.png,2000,2000,12.0,55.232892,12.5,55.516993,5527
55272,39G22,12.5,55.25,13.0,55.5,3,39G22.png,2000,2000,12.5,55.232892,13.0,55.516993,5527
55273,39G23,12.0,55.0,12.5,55.25,3,39G23.png,2000,2000,12.0,54.981993,12.5,55.267886,5527
55274,39G24,12.5,55.0,13.0,55.25,3,39G24.png,2000,2000,12.5,54.981993,13.0,55.267886,5527
5528,40G2,12.0,55.5,13.0,56.0,2,40G2.png,2000,2000,12.0,55.468388,13.0,56.031184,1
55281,40G21,12.0,55.75,12.5,56.0,3,40G21.png,2000,2000,12.0,55.734698,12.5,56.015197,5528
55282,40G22,12.5,55.75,13.0,56.0,3,40G22.png,2000,2000,12.5,55.734698,13.0,56.015197,5528
55283,40G23,12.0,55.5,12.5,55.75,3,40G23.png,2000,2000,12.0,55.483794,12.5,55.766096,5528
55284,40G24,12.5,55.5,13.0,55.75,3,40G24.png,2000,2000,12.5,55.483794,13.0,55.766096,5528
5529,41G2,12.0,56.0,13.0,56.5,2,41G2.png,2000,2000,12.0,55.972028,13.0,56.527589,1
55291,41G21,12.0,56.25,12.5,56.5,3,41G21.png,2000,2000,12.0,56.236515,12.5,56.513392,5529
55292,41G22,12.5,56.25,13.0,56.5,3,41G22.png,2000,2000,12.5,56.236515,13.0,56.513392,5529
55293,41G23,12.0,56.0,12.5,56.25,3,41G23.png,2000,2000,12.0,55.985606,12.5,56.264296,5529
55294,41G24,12.5,56.0,13.0,56.25,3,41G24.png,2000,2000,12.5,55.985606,13.0,56.264296,5529
5530,42G2,12.0,56.5,13.0,57.0,2,42G2.png,2000,2000,12.0,56.47569,13.0,57.023974,1
55301,42G21,12.0,56.75,12.5,57.0,3,42G21.png,2000,2000,12.0,56.738343,12.5,57.011576,5530
55302,42G22,12.5,56.75,13.0,57.0,3,42G22.png,2000,2000,12.5,56.738343,13.0,57.011576,5530
55303,42G23,12.0,56.5,12.5,56.75,3,42G23.png,2000,2000,12.0,56.487428,12.5,56.762485,5530
55304,42G24,12.5,56.5,13.0,56.75,3,42G24.png,2000,2000,12.5,56.487428,13.0,56.762485,5530
5531,43G2,12.0,57.0,13.0,57.5,2,43G2.png,2000,2000,12.0,56.979373,13.0,57.520338,1
55311,43G21,12.0,57.25,12.5,57.5,3,43G21.png,2000,2000,12.0,57.240181,12.5,57.509749,5531
55312,43G22,12.5,57.25,13.0,57.5,3,43G22.png,2000,2000,12.5,57.240181,13.0,57.509749,5531
55313,43G23,12.0,57.0,12.5,57.25,3,43G23.png,2000,2000,12.0,56.989261,12.5,57.260664,5531
55314,43G24,12.5,57.0,13.0,57.25,3,43G24.png,2000,2000,12.5,56.989261,13.0,57.260664,5531
